,AverageTradePrice,BuyQuantity,Close,Exchange,ExchangeType,High,LastQuantity,LastTradeTime,LastTradedPrice,Low,NetChange,Open,OpenInterest,Scripcode,SellQuantity,TotalBuyQuantity,TotalSellQuantity,Volume,Name,FullName
0,498.23,142,499.25,N,C,501.65,150,/Date(1695637164000)/,496.2,495.25,-3.05000000000001,498.45,0,7,0,142,0,751377,AARTIIND,AARTI INDUSTRIES LTD
1,4155.67,0,4187,N,C,4219.65,5,/Date(1695636844000)/,4176.9,4123,-10.1000000000004,4219.3,0,13,162,0,162,274277,ABB,ABB INDIA LIMITED
2,1992.78,0,1978.5,N,C,2006,19,/Date(1695637500000)/,2000.1,1967.4,21.5999999999999,1971,0,22,197,0,197,281333,ACC,ACC LIMITED
3,1115.69,0,1111,N,C,1135,13,/Date(1695635997000)/,1128.35,1100,17.3499999999999,1118,0,34,100,0,100,23864,ADORWELD,ADOR WELDING LTD
4,326.54,733,331.65,N,C,334.45,20,/Date(1695637524000)/,324.55,323.75,-7.09999999999997,332.3,0,40,0,733,0,321090,AEGISCHEM,AEGIS LOGISTICS LIMITED
5,909.26,0,911.6,N,C,922.1,1,/Date(1695637742000)/,906.7,905,-4.89999999999998,914,0,48,56,0,56,213857,HAPPSTMNDS,HAPPIEST MINDS TECHNO LTD
6,77.31,0,77.6,N,C,78.6,200,/Date(1695637761000)/,77.55,76.85,-0.0499999999999972,77.75,0,79,355,0,355,275871,ALEMBICLTD,ALEMBIC LIMITED
7,635.82,0,635.35,N,C,639.9,18,/Date(1695637768000)/,636.7,633,1.35000000000002,639.9,0,100,420,0,420,197306,AMARAJABAT,AMARA RAJA BATTERIES LTD.
8,1341.91,0,1361.75,N,C,1364.95,4,/Date(1695635982000)/,1331.35,1314,-30.4000000000001,1364.95,0,104,329,0,329,37872,SHAREINDIA,SHARE IND. SECURITIES LTD
9,1573.54,1,1577.1,N,C,1599.8,9,/Date(1695637680000)/,1562.15,1561.2,-14.9499999999998,1577.1,0,128,0,1,0,106878,ROUTE,ROUTE MOBILE LIMITED
10,125.3,433,118.35,N,C,128.65,1,/Date(1695637326000)/,123.45,118.35,5.10000000000001,118.35,0,136,0,433,0,1585799,ANDHRSUGAR,ANDHRA SUGARS LTD
11,480.91,72,479.95,N,C,485.15,49,/Date(1695635997000)/,481.15,478.7,1.19999999999999,482.35,0,144,0,72,0,65527,GODREJAGRO,GODREJ AGROVET LIMITED
12,500.03,341,501.8,N,C,508,10,/Date(1695637723000)/,497.95,497,-3.85000000000002,502,0,154,0,341,0,28669,APCOTEXIND,APCOTEX INDUSTRIES LIMITE
13,5064.44,0,4989.55,N,C,5113.45,5,/Date(1695637198000)/,5097.05,4972.85,107.5,5014.9,0,157,0,0,0,386746,APOLLOHOSP,APOLLO HOSPITALS ENTER. L
14,375.7,0,371.75,N,C,378.25,50,/Date(1695637701000)/,377.45,372.25,5.69999999999999,373.7,0,163,1048,0,1048,1564689,APOLLOTYRE,APOLLO TYRES LTD
15,599.56,325,592.35,N,C,608.2,6,/Date(1695637657000)/,597.35,587.55,5,594,0,166,0,325,0,250442,ANDHRAPAP,ANDHRA PAPER LIMITED
16,169.23,0,167.05,N,C,172.7,200,/Date(1695637475000)/,166.7,165.9,-0.350000000000023,167.9,0,193,4612,0,4612,864761,ARVIND,ARVIND LIMITED
17,892.71,1,879.2,N,C,900,1,/Date(1695635999000)/,895.15,880.55,15.9499999999999,881.05,0,199,0,1,0,60543,MASFIN,MAS FINANCIAL SERV LTD
